Word,Max,Expected,Median,25th Perc,75th Perc
HOOPS,215,71.41356184798808,49.0,20.0,117.0
SCOOP,189,71.66691505216096,56.0,31.25,122.0
BUTYL,202,71.68405365126677,61.0,19.0,86.0
HONKY,189,71.69448584202682,46.0,16.0,108.0
LUPUS,188,71.81594634873323,66.0,20.0,93.0
HUMFS,208,71.92101341281669,39.0,15.0,142.0
JOHNS,188,72.06408345752608,55.0,26.0,112.0
SLUSH,179,72.07302533532042,51.0,24.0,118.0
STOBS,159,72.10357675111773,73.0,24.0,115.0
MOUNT,208,72.12071535022355,32.0,16.0,132.0
GYNOS,219,72.1311475409836,41.0,13.0,97.0
SNOWK,155,72.14754098360656,60.0,18.0,121.0
POOHS,215,72.16318926974665,49.0,21.0,117.0
CYTON,195,72.21013412816691,65.0,16.0,99.0
FLUTY,216,72.26229508196721,50.0,18.0,121.0
ZLOTY,189,72.3532041728763,54.0,26.0,110.0
HYPOS,226,72.40238450074516,41.0,17.0,98.0
SYNTH,227,72.44709388971684,44.0,14.0,123.0
MOTTS,188,72.45230998509687,58.0,23.0,103.0
BUNTY,224,72.55737704918033,52.0,15.0,98.0
SHULS,190,72.5886736214605,59.0,24.0,112.0
BLUNT,197,72.61102831594634,49.0,20.0,95.0
LUSTS,226,72.62146050670641,67.0,24.0,120.0
CLOMP,187,72.62295081967213,49.0,21.25,119.0
COWKS,179,72.65722801788375,59.0,14.0,114.0
GUTSY,224,72.67213114754098,49.0,13.0,86.0
FOOLS,194,72.7645305514158,58.0,30.0,107.0
WOMBS,180,72.79284649776453,63.0,21.0,111.0
PLUMY,217,72.90461997019374,44.0,14.0,126.0
BOLLS,184,72.93070044709388,58.0,22.0,110.0
SOTHS,198,73.14083457526081,54.0,18.25,112.0
WHUPS,190,73.2026825633383,38.0,16.0,121.0
GYPOS,219,73.24590163934427,53.0,18.25,97.0
POOKS,196,73.35916542473919,58.0,20.0,107.0
COOMS,210,73.3859910581222,61.0,19.0,111.0
LUMPY,217,73.48882265275708,50.0,14.0,101.0
MULLS,195,73.5171385991058,58.0,23.0,91.0
MOPSY,208,73.54992548435172,59.0,12.0,135.0
WOCKS,179,73.56631892697466,59.0,18.0,114.0
JOLTY,203,73.62891207153503,53.0,19.0,107.0
BUSTY,239,73.86140089418778,45.0,14.0,85.0
LOOFS,194,73.88301043219076,58.0,33.0,107.0
ONCUS,209,73.89865871833085,52.0,17.0,129.0
GOWNS,190,73.92250372578242,57.0,13.0,116.0
PYLON,220,73.92995529061103,53.0,16.0,91.0
TOWSY,194,74.03129657228018,61.0,21.0,148.0
BOUSY,211,74.08941877794337,50.0,15.0,114.0
BOONS,200,74.1117734724292,65.0,20.0,124.0
FUNKS,199,74.2086438152012,44.0,14.0,159.0
FOOTS,204,74.23994038748137,53.5,26.0,115.0
PLONG,193,74.3204172876304,38.0,20.0,116.0
GOWKS,178,74.49478390461996,60.0,16.0,106.0
SHOOK,182,74.54321907600597,53.0,29.0,110.0
LUCKY,208,74.54396423248882,62.0,17.0,94.0
NOOKS,189,74.64381520119225,63.0,23.0,113.0
NOUNS,195,74.73472429210135,53.0,23.0,101.0
NOTCH,212,74.74366616989568,44.0,18.0,141.0
MOOPS,207,74.85991058122205,64.0,17.0,116.0
LUNCH,207,74.8688524590164,55.0,20.0,118.0
POSTS,206,74.88971684053651,63.0,21.0,129.0
SCOPS,189,74.9418777943368,64.0,25.0,122.0
GULPY,224,75.09687034277198,47.0,15.0,102.0
HOMOS,213,75.10953800298063,48.0,18.0,114.0
HOOKS,205,75.15871833084948,52.0,25.0,113.0
SPOOM,187,75.16766020864381,72.0,28.25,117.0
NOOBS,200,75.20715350223547,65.0,27.0,124.0
SOOKY,222,75.33084947839046,79.0,25.0,103.0
SCULS,195,75.41430700447094,54.0,23.0,109.0
SHOPS,193,75.44709388971684,63.0,20.0,117.0
SPOOK,180,75.48733233979135,55.0,33.25,113.0
BOYFS,214,75.5618479880775,70.0,15.0,86.0
GLOBY,192,75.60506706408346,45.0,17.0,160.0
MOOKS,194,75.62295081967213,60.0,24.0,116.0
COSTS,212,75.650521609538,57.0,19.75,117.0
BOTTS,192,75.69970193740686,59.0,25.0,115.0
CLONK,196,75.73770491803279,45.0,18.0,149.0
SNOOK,173,75.84500745156483,65.0,24.0,126.0
CONNS,196,75.90461997019374,59.0,20.0,114.0
UMPHS,191,75.9478390461997,45.0,24.0,123.0
MOCHY,202,76.08196721311475,42.0,19.0,136.0
POMOS,207,76.09388971684054,64.0,18.0,116.0
SONSY,213,76.12444113263786,71.0,20.0,98.0
SLUMS,195,76.13561847988078,56.0,28.0,111.0
SPOSH,193,76.17436661698957,63.0,25.0,112.0
GHOUL,175,76.25186289120715,74.0,19.0,130.0
SULKS,189,76.274217585693,60.0,25.0,102.0
FLOUT,172,76.28464977645305,65.0,19.0,139.0
MOHOS,213,76.52160953800298,48.0,22.0,114.0
CUSPY,245,76.55737704918033,42.0,15.0,103.0
OUPHS,221,76.58569299552906,46.0,21.0,147.0
NOWTY,190,76.63785394932935,54.0,19.0,119.0
PLUTO,233,76.6602086438152,44.0,15.0,123.0
MOUTH,236,76.76005961251863,36.0,15.0,130.0
GOOPS,217,76.8882265275708,65.0,19.0,117.0
WOOLS,198,76.93442622950819,57.0,33.0,126.0
COOST,208,76.99776453055142,57.0,24.0,126.0
BUFOS,215,77.16244411326379,43.0,20.0,153.0
TUMPY,237,77.17287630402384,46.0,15.0,102.0
FUNGS,209,77.23695976154993,45.0,15.0,156.0
CHOKY,207,77.24441132637854,49.0,15.0,141.0
THONG,207,77.2608047690015,49.0,22.0,144.0
JOUKS,189,77.32339791356185,55.0,23.0,157.0
CONKY,201,77.34128166915052,44.0,15.0,132.0
COUTH,236,77.39940387481371,35.0,13.0,142.0
BOSKY,205,77.40834575260804,64.0,14.0,128.0
SCOOG,191,77.44560357675111,59.0,34.0,128.0
PUSHY,243,77.51266766020865,53.0,14.0,105.0
PUTTS,209,77.51862891207153,43.0,21.0,152.0
BOOHS,219,77.5193740685544,61.0,23.0,125.0
GOONS,214,77.54545454545455,70.0,19.0,119.0
COHOS,218,77.64232488822653,48.0,24.0,121.0
SNOBS,173,77.65573770491804,77.0,26.0,124.0
TOWNY,190,77.69001490312965,68.0,19.0,119.0
COMPT,217,77.78539493293592,37.0,18.0,151.0
KYBOS,228,77.81222056631893,46.0,20.0,110.0
MOKOS,194,77.82339791356185,60.0,24.0,101.0
NUTSO,232,77.82563338301043,41.0,16.0,118.0
ZOUKS,192,77.8301043219076,57.5,24.75,154.0
CLOMB,189,77.91803278688525,50.0,22.0,130.0
MOSTS,210,78.16542473919523,70.0,23.0,127.0
FLUSH,217,78.21013412816691,62.0,18.0,108.0
SONNY,213,78.2123695976155,71.0,22.0,98.0
COOKS,208,78.33457526080477,65.0,18.0,118.0
POTCH,229,78.34724292101342,42.0,14.0,140.0
LOCUM,217,78.36512667660209,56.0,20.0,138.0
NOTUM,208,78.41728763040238,57.0,18.0,150.0
CHOUT,176,78.44709388971684,62.0,16.0,159.0
YOOPS,238,78.72503725782414,57.0,21.0,110.0
BULLS,206,78.76825633383011,59.0,25.0,139.0
ZONKS,184,78.8628912071535,70.0,21.0,111.0
SCULL,189,78.86512667660209,61.0,26.0,122.0
POGOS,217,78.97988077496274,65.0,20.25,117.0
HOSTS,217,79.04694485842028,66.0,18.25,130.0
LOUGH,232,79.0909090909091,45.0,18.0,141.0
HOBOS,219,79.12816691505216,52.0,23.0,125.0
UMBOS,214,79.2026825633383,56.0,24.0,139.0
POCKY,220,79.26527570789865,49.0,15.0,126.0
JOUGS,207,79.27868852459017,64.0,22.0,142.0
GULLS,202,79.29433681073026,61.0,20.75,144.0
HUNKY,230,79.30253353204174,51.0,14.0,104.5
STUNS,203,79.32339791356185,58.0,24.0,146.0
FUCKS,209,79.39940387481371,63.0,14.0,156.0
HOOLY,228,79.47317436661699,60.0,28.0,116.0
KNOUT,165,79.47540983606558,59.0,21.5,153.0
HYSON,236,79.4769001490313,58.0,18.0,108.0
TOUCH,236,79.54843517138599,39.0,15.0,142.0
TOUGH,238,79.59761549925484,41.0,20.0,134.0
SOUPS,215,79.70715350223547,53.0,18.0,148.0
JOUST,198,79.71385991058122,63.0,23.0,124.0
YOUNG,212,79.87034277198211,62.0,19.0,128.0
OONTS,238,79.89642324888227,56.0,24.0,122.0
PONGY,224,79.94336810730253,42.0,13.0,131.0
FUSTY,246,79.9865871833085,52.0,17.0,95.0
CHOCS,180,80.04321907600597,63.0,19.0,121.0
PLUNK,214,80.0581222056632,56.0,19.0,148.0
FLUYT,216,80.11922503725782,52.0,23.0,121.0
BULBS,206,80.198956780924,59.0,26.0,139.0
GOOKS,206,80.28241430700447,68.0,19.0,111.0
BUMFS,216,80.29657228017884,60.0,15.0,157.0
COYPU,201,80.36810730253353,61.0,20.0,146.0
BOHOS,219,80.37183308494784,52.0,27.0,125.0
HUSKY,245,80.41430700447094,47.0,18.0,105.0
MOOBS,213,80.42026825633383,77.0,23.0,115.0
SCUTS,213,80.44932935916542,48.0,24.0,140.0
CUSHY,250,80.54098360655738,43.0,15.0,98.0
SUNNY,216,80.66467958271237,62.0,22.0,105.0
BULKY,237,80.6795827123696,54.0,16.0,114.0
LOONY,226,80.71311475409836,69.0,24.0,123.0
BOOMS,213,80.72876304023845,77.0,29.0,115.0
GULPH,230,80.73770491803279,46.0,17.0,136.0
GLOSS,181,80.86214605067065,85.0,22.0,142.0
SLUBS,206,80.87704918032787,66.0,24.0,124.0
BOTCH,219,80.88077496274218,48.0,17.0,149.0
SKOSH,182,80.88077496274218,76.0,24.0,110.0
SMOKO,173,80.92101341281669,84.0,36.5,108.0
COOLY,231,80.9418777943368,58.0,22.0,123.0
FOLKY,216,80.96423248882266,66.0,19.0,138.0
PUTON,241,81.13561847988078,50.0,16.0,134.0
CYMOL,234,81.14307004470939,54.0,17.0,109.0
TOLLY,216,81.22727272727273,67.0,22.0,112.0
THOWL,209,81.26676602086438,72.0,22.0,144.0
STUNT,196,81.34724292101342,66.0,26.0,146.0
SCHMO,221,81.35916542473919,49.0,22.0,146.0
GUYOT,226,81.39791356184799,72.0,21.0,99.0
CLOOT,208,81.4381520119225,68.0,27.0,124.0
HOWFS,202,81.4962742175857,66.0,18.0,144.0
COMBY,212,81.54098360655738,46.0,18.0,154.0
SHUTS,217,81.55961251862891,42.0,19.0,157.0
SCOGS,191,81.56557377049181,90.0,26.0,128.0
SOPHS,218,81.64008941877795,66.0,24.0,138.0
SOUMS,212,81.77272727272727,61.0,27.0,148.0
SYBOW,213,81.80774962742176,73.0,27.0,112.0
JOWLS,188,81.90461997019374,59.0,28.0,153.0
PUNKY,241,81.91207153502235,55.0,16.0,119.0
SNOGS,192,82.01192250372578,83.0,20.0,132.0
BOOKS,204,82.02384500745157,72.0,22.0,118.0
GOTCH,227,82.13263785394933,51.0,21.0,142.0
SWOTS,177,82.17287630402384,80.0,27.0,132.75
JONGS,203,82.22056631892697,70.0,20.0,141.0
SUNUP,204,82.2913561847988,59.0,23.0,155.0
KUTUS,207,82.54396423248882,62.0,28.0,166.0
SHOGS,200,82.55439642324889,83.0,20.0,154.0
SLUGS,202,82.67660208643815,67.0,23.0,131.0
YUPON,234,82.7064083457526,67.0,20.0,104.0
LOSSY,216,82.9478390461997,73.0,23.0,114.0
SOFTS,207,82.9769001490313,76.0,22.0,145.0
COMMS,210,83.0193740685544,71.0,19.0,140.0
MULCH,236,83.06557377049181,55.0,16.0,130.0
SKULL,182,83.17660208643815,65.0,26.0,119.0
JUCOS,224,83.22652757078987,49.0,22.0,147.0
MUTTS,220,83.23323397913562,57.0,21.0,160.0
SOUKS,206,83.2645305514158,66.5,22.0,163.0
HOOTY,233,83.52384500745157,47.0,24.0,143.0
PLOTZ,212,83.52757078986588,61.0,31.0,146.0
BLUBS,206,83.53576751117734,66.0,25.0,139.0
MUSHY,258,83.54545454545455,53.0,14.0,102.0
ONKUS,217,83.56631892697466,53.0,19.0,160.0
SKULK,182,83.56929955290612,65.0,27.0,119.0
HUMPY,245,83.64828614008943,66.0,16.0,115.0
POOFS,220,83.70491803278688,68.0,22.0,119.0
SLOWS,185,83.78464977645305,71.0,27.0,157.0
QOPHS,215,83.91058122205663,65.0,28.0,138.0
SMUTS,220,83.97988077496274,42.0,26.0,160.0
SWUNG,196,84.09239940387481,42.0,25.0,153.0
KONKS,189,84.1080476900149,73.0,23.0,155.0
SMOGS,188,84.12220566318926,91.0,28.0,117.0
SHUNS,223,84.12667660208643,47.0,24.0,146.0
SNUSH,211,84.1274217585693,54.0,26.0,146.0
JOCKS,198,84.17585692995529,70.0,24.0,148.0
COOFS,225,84.24962742175857,72.0,23.0,125.0
BOKOS,204,84.2548435171386,78.0,25.0,118.0
KOBOS,204,84.26751117734725,78.0,28.0,118.0
SLUBB,194,84.31222056631893,65.0,29.0,124.0
KLONG,210,84.36214605067065,52.0,25.0,150.0
GUSTO,257,84.5424739195231,50.0,15.0,130.0
OBOLS,234,84.65275707898658,70.0,31.0,110.0
BOOST,207,84.65871833084948,74.0,26.5,137.0
POMPS,207,84.69597615499255,69.0,21.0,145.0
MUSKY,260,84.81222056631893,46.0,17.0,110.0
BLOWY,211,84.93889716840536,55.0,21.0,145.0
SOPPY,232,84.94336810730253,76.0,26.0,111.0
SYNCH,243,85.02235469448584,54.0,22.0,139.0
MOGUL,225,85.05663189269747,58.0,18.0,147.0
JONTY,206,85.08047690014904,50.0,21.0,145.0
GLUGS,202,85.08569299552906,67.0,23.0,144.0
BUTTS,220,85.14307004470939,56.0,23.0,156.0
HOOFS,230,85.21684053651266,65.0,30.0,125.0
SOYUZ,223,85.24590163934427,63.0,27.0,118.0
BLOCK,212,85.28614008941878,48.0,24.0,157.0
MOMUS,206,85.29284649776453,67.0,23.0,148.0
SPOOF,206,85.31594634873323,81.0,37.0,120.0
ZOBUS,210,85.39046199701937,69.0,26.0,135.0
CLOWN,202,85.43219076005961,63.0,29.0,166.0
GUSHY,259,85.46050670640835,49.0,17.0,107.0
TOFTS,204,85.47317436661699,76.0,27.5,145.0
TOLYL,216,85.5581222056632,71.0,30.0,112.0
CLUMP,230,85.7973174366617,53.0,17.0,155.0
KOTCH,236,86.16840536512667,50.0,18.0,150.0
BUSHY,263,86.1833084947839,53.0,15.0,106.0
MOOLY,240,86.36363636363636,70.0,22.0,124.0
FOUNT,234,86.38002980625932,45.0,18.0,151.0
MUTON,252,86.39940387481371,53.0,19.0,130.0
BULGY,255,86.51415797317436,55.0,14.0,116.0
YTOST,188,86.54172876304024,67.0,35.0,152.0
STOWS,177,86.63487332339791,80.0,38.0,132.75
TOFFS,204,86.65350223546945,76.0,31.0,145.0
JUMPS,222,86.66169895678092,66.0,24.0,162.0
GULCH,241,86.7645305514158,65.0,19.0,142.0
STUMS,220,86.77347242921013,66.0,27.25,160.0
SONGS,219,86.7973174366617,75.0,20.0,148.0
BOYOS,245,86.8666169895678,79.0,23.0,136.0
MOFOS,218,86.97391952309985,87.0,24.25,140.0
COBBS,214,87.04619970193741,67.0,26.0,135.0
OCTYL,225,87.11922503725782,78.0,29.0,112.0
TOSSY,222,87.1274217585693,72.0,26.0,149.0
MOLTO,238,87.15201192250373,56.0,34.0,149.0
COMFY,219,87.17585692995529,76.0,18.0,159.0
SKOGS,185,87.21385991058122,86.0,26.0,170.0
GOBOS,224,87.34202682563338,75.0,24.0,144.0
TOYON,219,87.3666169895678,73.0,27.0,142.0
SOWLS,209,87.4053651266766,63.0,28.0,159.0
WOONS,211,87.51266766020865,73.0,34.0,140.0
UNCOY,212,87.57228017883756,74.0,22.0,143.0
PUNCH,256,87.64828614008943,56.0,18.0,133.0
POUCH,256,87.73472429210135,45.0,13.0,149.0
SCUPS,222,88.10879284649776,64.0,28.0,144.0
LOOPY,254,88.30551415797318,68.0,21.0,136.0
STUBS,220,88.51117734724292,71.0,26.5,156.0
GONGS,214,88.55067064083458,70.0,20.0,148.0
STUMM,209,88.84873323397913,66.0,30.0,160.0
TYMPS,269,88.85991058122205,45.0,18.0,111.0
NONGS,214,88.86438152011922,70.0,20.0,148.0
SWOON,192,88.89493293591654,75.0,32.0,150.0
SOCKS,216,88.92399403874813,73.0,24.0,155.0
GOWFS,207,88.98211624441133,74.0,16.0,154.0
PLUCK,238,88.98509687034277,50.0,17.0,168.0
CLUNG,244,89.06557377049181,49.0,22.0,156.0
SOOLS,231,89.23174366616989,69.0,37.0,128.0
SOCKO,216,89.4113263785395,73.0,25.0,139.0
WULLS,207,89.41952309985096,70.0,32.0,153.0
COCKS,208,89.49105812220566,73.0,22.0,155.0
TOWTS,200,89.54769001490313,77.0,30.0,147.0
NOGGS,214,89.58643815201192,70.0,26.0,148.0
JUNKS,223,89.59910581222057,69.0,20.0,173.0
POWNY,228,89.65126676602087,86.0,19.0,149.0
WOOPS,221,89.73397913561848,74.0,23.0,140.0
THUNK,257,89.74217585692996,49.0,23.0,147.0
FLUKY,247,89.91207153502235,72.0,22.0,142.0
FULLS,218,89.97839046199702,68.0,26.0,161.0
CHOMP,228,90.17436661698957,53.0,18.0,165.0
PUKUS,220,90.17734724292102,73.0,29.0,175.0
LUSKS,251,90.18256333830104,73.0,25.25,153.0
HOGGS,226,90.19001490312965,70.0,26.0,145.0
BUSKY,268,90.19970193740686,55.0,16.0,116.0
HOLLY,228,90.22727272727273,82.0,27.0,121.0
SUMPS,230,90.25037257824143,70.0,19.0,170.0
HOGHS,226,90.27272727272727,70.0,26.0,145.0
CLUNK,248,90.31892697466468,52.0,17.0,161.0
SWOOP,202,90.4806259314456,72.0,36.0,142.0
FOUTH,265,90.49776453055142,42.0,15.0,139.0
TOUZY,220,90.56035767511177,71.0,26.0,138.0
FLOSS,194,90.57749627421758,93.0,28.0,161.0
GLUON,259,90.61847988077496,54.0,15.0,143.0
PUNTO,272,90.8166915052161,57.0,16.0,134.0
BOMBS,213,90.88152011922504,82.0,26.0,149.0
LOOKY,249,90.9612518628912,82.0,22.0,128.0
HUMUS,240,91.15946348733235,68.0,19.0,161.0
HOLON,248,91.20342771982116,60.0,36.0,156.0
SOOTS,233,91.43144560357675,69.5,33.0,136.0
MOUCH,257,91.4381520119225,43.0,16.0,148.0
KHOUM,203,91.49031296572281,54.0,24.0,173.0
MUCUS,237,91.54843517138599,65.0,19.0,159.0
COLLY,231,91.56780923994039,95.0,26.0,133.0
BUNNS,230,91.58345752608048,66.0,22.25,159.0
COUGH,260,91.7913561847988,45.0,16.0,153.0
BUTOH,270,91.81520119225037,54.0,16.0,132.0
SOLOS,231,91.85022354694486,68.0,31.0,163.0
OMBUS,237,91.85543964232488,55.0,22.0,166.0
SOGGY,241,91.87183308494784,74.0,25.0,116.0
SUNKS,229,92.07377049180327,72.0,22.0,177.0
YOOFS,254,92.45827123695976,78.0,40.0,129.0
SMUSH,222,92.48584202682564,94.0,32.0,161.0
SYSOP,243,92.5134128166915,74.0,26.0,126.0
SUBBY,234,92.54619970193741,76.0,36.0,112.0
MUMPS,230,92.75111773472429,70.0,24.0,170.0
PUMPS,230,92.78390461997019,70.0,26.0,170.0
PLUMB,247,92.80625931445604,59.0,20.0,151.0
MUCKY,264,92.85543964232488,69.0,18.0,116.0
GUSTS,275,92.90163934426229,59.0,26.0,155.0
SUMOS,246,92.90760059612519,49.0,22.0,173.0
SUKHS,232,92.95976154992549,72.0,28.0,170.0
BUTCH,263,93.06259314456035,65.0,20.0,128.0
LUFFS,218,93.26005961251863,76.0,27.0,161.0
THUMP,268,93.28017883755588,50.0,16.0,149.0
MUSTS,281,93.28017883755588,57.0,21.0,160.0
BOOTY,243,93.30402384500745,55.0,24.0,164.0
MYTHS,278,93.32637853949329,45.0,18.0,128.0
BOSON,228,93.3666169895678,69.0,28.0,149.0
GOUCH,260,93.41728763040238,47.0,19.0,153.0
UMPTY,237,93.53800298062593,56.0,17.0,190.0
SNUBS,230,93.57302533532042,59.0,31.0,159.0
BLUNK,254,93.62295081967213,61.0,23.0,150.0
TUSKS,263,93.68852459016394,62.0,27.0,166.0
POSHO,237,93.77868852459017,82.0,26.0,136.0
COLON,253,93.80923994038749,65.0,32.0,170.0
SNOWS,192,93.87034277198211,105.0,37.0,157.0
GUCKY,258,93.91207153502235,73.0,21.0,125.0
GOOFS,234,93.93740685543965,87.0,23.0,126.0
MOSKS,224,94.05439642324889,84.0,24.0,161.0
HYMNS,279,94.05961251862891,49.0,19.0,134.0
SUGHS,239,94.08196721311475,70.0,26.0,158.0
GONCH,258,94.10879284649776,46.0,17.0,158.0
GOOLY,256,94.44709388971684,64.0,20.0,145.0
TOOTS,231,94.79955290611028,89.0,39.0,136.0
BUFTY,272,94.80178837555887,60.0,18.0,112.0
WOMYN,215,94.81371087928466,98.0,24.0,147.0
COYLY,231,94.89865871833085,95.0,32.0,133.0
MUTCH,278,94.9284649776453,63.0,17.0,125.0
BOUGH,265,94.93889716840536,48.0,18.0,145.0
SWOPS,202,94.94560357675111,95.0,27.0,171.0
SUGOS,236,95.25260804769002,53.0,30.0,180.0
JOLLS,209,95.3397913561848,73.0,35.0,168.0
TSUBO,272,95.36214605067065,44.0,17.0,126.0
VUGHS,236,95.37853949329359,70.0,33.0,155.0
MUNCH,278,95.3859910581222,65.0,20.0,126.0
SCUMS,237,95.43591654247392,59.0,33.0,159.0
LYNCH,227,95.52906110283159,82.0,25.0,150.0
BLOWN,209,95.56929955290612,76.0,27.0,180.0
CUSPS,287,95.924739195231,66.0,24.0,144.0
FLONG,229,96.17287630402384,66.0,24.0,156.0
CLOOP,249,96.37332339791357,56.0,28.5,178.0
HULLY,240,96.41654247391952,87.0,28.0,119.0
HOTTY,233,96.42399403874813,83.0,24.0,143.0
BUSTS,288,96.44336810730253,62.0,23.0,156.0
SCOWS,201,96.52160953800298,106.0,38.0,157.0
HOKUM,252,96.53204172876303,56.0,27.0,154.0
WOJUS,207,96.55737704918033,75.0,34.0,156.0
COFFS,225,96.63263785394933,78.0,26.0,152.0
GULFY,268,96.68852459016394,85.0,14.0,122.0
FUGLY,268,96.87481371087928,86.0,18.0,122.0
SLUFF,212,96.87704918032787,97.0,31.0,161.0
MOLLY,240,96.93368107302534,82.0,22.0,152.0
SHOWS,204,96.95007451564828,110.0,32.0,172.0
SCUGS,233,96.9575260804769,104.0,33.0,152.0
TUFTS,234,96.98807749627422,77.0,27.75,180.0
LOOBY,258,97.09165424739196,79.0,22.0,145.0
BUNCH,274,97.20715350223547,67.0,23.0,130.0
MOONY,248,97.22876304023845,58.0,28.0,145.0
WONKY,229,97.50223546944858,98.0,21.0,156.0
SCOFF,206,97.59538002980626,95.0,42.0,156.0
SUCKS,238,97.650521609538,68.0,24.0,175.0
SPUGS,228,97.75037257824143,95.0,29.0,170.0
ZOONS,231,97.81818181818181,86.0,37.0,140.0
POLLY,254,97.93517138599105,82.0,21.0,136.0
BUMPY,282,98.12667660208643,57.0,17.0,131.0
TUFFS,234,98.23695976154993,77.0,33.0,180.0
POTTY,244,98.23845007451565,79.0,20.5,149.0
GUNKY,278,98.61251862891207,67.0,14.0,132.0
KUTCH,278,98.67362146050671,59.0,20.0,134.0
FLOCK,242,98.75111773472429,52.0,22.0,166.0
CULLY,255,98.7913561847988,88.0,27.0,116.0
NONYL,226,98.7973174366617,98.0,42.0,126.0
WHOWS,189,98.86065573770492,110.0,36.0,172.0
SNUGS,237,98.89865871833085,100.0,25.0,175.0
THUMB,278,99.47839046199702,58.0,29.0,141.0
COOPT,271,99.6177347242921,67.0,28.0,184.0
UNCUS,221,99.68032786885246,85.0,36.0,157.0
SKUNK,223,100.00074515648286,90.0,28.0,177.0
PULMO,283,100.01043219076006,51.0,16.0,134.0
MOTTY,233,100.06408345752608,83.0,25.0,159.0
SOWPS,228,100.14754098360656,85.0,23.0,168.0
FUTON,274,100.34873323397913,74.0,18.0,148.0
MUGGS,241,100.66840536512667,90.0,26.0,177.0
HUSOS,283,100.68256333830104,72.0,24.0,165.0
STOSS,201,100.69821162444113,117.0,41.0,157.0
TOPPY,244,100.97466467958272,79.0,23.0,149.0
STOTS,201,101.02608047690015,117.0,36.0,157.0
CONTO,255,101.19746646795826,47.0,30.0,196.0
HOOKY,260,101.29210134128166,95.0,30.0,171.0
GOOSY,264,101.4150521609538,73.0,21.0,169.0
SHOOS,230,101.42548435171386,104.0,35.0,148.0
PHOTO,266,101.48509687034277,51.0,31.0,176.0
BOSKS,234,101.52160953800298,101.0,22.0,163.0
HWYLS,275,101.60059612518629,67.0,25.0,142.0
SOWMS,222,101.61549925484351,92.0,33.0,166.0
LOPPY,254,101.66542473919523,82.0,23.0,136.0
CHOLO,258,101.8166915052161,66.0,27.0,178.0
COOMY,257,101.86140089418778,96.0,30.0,147.0
TOMMY,233,101.97540983606558,83.0,23.0,159.0
SMUGS,241,102.04172876304024,109.0,32.0,177.0
